material_group,age_band,total_length_m
AC,0-20,6988.35
AC,21-40,13777.6
AC,41-60,442464.37
AC,61-80,328052.35
AC,80+,56235.24
AC,Unknown,12429.05
CI,0-20,1258.41
CI,21-40,6473.43
CI,41-60,16679.53
CI,61-80,41007.19
CI,80+,246062.88
CI,Unknown,28281.78
CI,Age data review,2028.43
PE80,0-20,139207.81
PE80,21-40,191098.3
PE80,41-60,75943.96
PE80,61-80,22711.63
PE80,80+,16406.68
PE80,Unknown,72196.16
PE100,0-20,247383.36
PE100,21-40,65900.54
PE100,41-60,32398.12
PE100,61-80,1601.37
PE100,80+,1830.8899999999999
PE100,Unknown,7038.84
STCL,0-20,10225.97
STCL,21-40,33395.4
STCL,41-60,101739.32
STCL,61-80,98989.18
STCL,80+,74200.43
STCL,Unknown,6294.86
Unknown,0-20,8137.72
Unknown,21-40,7117.13
Unknown,41-60,11963.57
Unknown,61-80,12100.1
Unknown,80+,4721.88
Unknown,Unknown,253360.49
